,id,title,link,sources,date,coord
100,EONET_6817,"CARO Wildfire, Spokane, Washington",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6817,https://irwin.doi.gov/observer/,2024-06-11,"[-117.293534, 47.649666]"
101,EONET_6818,"WILDCAT CREEK Wildfire, Caddo, Oklahoma",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6818,https://irwin.doi.gov/observer/,2024-06-11,"[-98.256944, 35.296944]"
102,EONET_6820,"PALISADES ROAD Wildfire, Douglas, Washington",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6820,https://irwin.doi.gov/observer/,2024-06-11,"[-120.012476, 47.275592]"
103,EONET_6835,"D54 STUCK VEHICLE 2S66 Wildfire, Tuolumne, California",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6835,https://irwin.doi.gov/observer/,2024-06-10,"[-119.96652, 37.79836]"
104,EONET_6838,"Timber Butte Wildfire, Klamath, Oregon",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6838,https://irwin.doi.gov/observer/,2024-06-10,"[-121.476333, 43.316]"
105,EONET_6841,"ADOBE 3 Wildfire, Sonoma, California",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6841,https://irwin.doi.gov/observer/,2024-06-10,"[-122.531283, 38.238583]"
106,EONET_6842,"ADOBE 2 Wildfire, Sonoma, California",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6842,https://irwin.doi.gov/observer/,2024-06-10,"[-122.533917, 38.240033]"
107,EONET_6844,"Black Wildfire, Gila, Arizona",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6844,https://irwin.doi.gov/observer/,2024-06-10,"[-110.529833, 33.986]"
108,EONET_6845,"I-5 MM 18 Wildfire, Jackson, Oregon",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6845,https://irwin.doi.gov/observer/,2024-06-10,"[-122.7138333, 42.21833333]"
109,EONET_6849,"ASSIST/KRN/48A Wildfire, Kern, California",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6849,https://irwin.doi.gov/observer/,2024-06-10,"[-117.962179, 35.223745]"
110,EONET_6850,"I 80  / CUMMINGS SKWY Wildfire, Contra Costa, California",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6850,https://irwin.doi.gov/observer/,2024-06-10,"[-122.238293, 38.045173]"
111,EONET_6666,"Wildfire in Bolivia, Brazil 1019827",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6666,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019827,2024-06-10,"[-57.96180469872408, -19.98358757004916]"
112,EONET_6673,Wildfire in The Democratic Republic of Congo 1019831,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6673,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019831,2024-06-10,"[25.048072842072497, -8.449158839527039]"
113,EONET_6679,Wildfire in Australia 1019837,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6679,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019837,2024-06-10,"[128.756296444836, -17.064177309559632]"
114,EONET_6685,Wildfire in Australia 1019844,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6685,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019844,2024-06-10,"[130.11084389489514, -14.453578007520827]"
115,EONET_6686,Wildfire in Russian Federation 1019843,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6686,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019843,2024-06-10,"[128.92521909629454, 53.328215689594266]"
116,EONET_6693,Wildfire in Australia 1019851,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6693,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019851,2024-06-10,"[130.1599674966007, -14.388250095459364]"
117,EONET_8154,Wildfire in The Democratic Republic of Congo 1019869,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8154,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019869,2024-06-10,"[24.211050380988084, -3.3985815757509625]"
118,EONET_8186,Wildfire in Russian Federation 1019901,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8186,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019901,2024-06-10,"[133.13202920201394, 59.91720308563306]"
119,EONET_6863,"Canal Wildfire, Maricopa, Arizona",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6863,https://irwin.doi.gov/observer/,2024-06-10,"[-111.893383, 33.449053]"
