Asteroid ID,Name,Est diameter (km),Potentially hazardous?,Closest approach date,Approach velocity (kps),How much did the asteroid miss us by? (km),For more info on this asteroid: 
54423314,(2024 BV4),0.09,False,2024-01-17,15.88,10235839.47,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54423314
2042286,42286 (2001 TN41),2.01,False,2024-01-16,9.87,72441875.49,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2042286
2508767,508767 (1993 BD2),0.99,False,2024-01-16,12.85,74157207.34,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2508767
3555069,(2010 XY82),0.63,False,2024-01-16,14.95,45063985.4,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3555069
3595919,(2012 BN1),0.03,False,2024-01-16,4.55,10568966.91,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3595919
3771633,(2017 FZ2),0.02,False,2024-01-16,7.56,43006441.98,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3771633
3837793,(2019 AC9),0.03,False,2024-01-16,8.76,8383329.1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3837793
54110699,(2021 CZ2),0.14,False,2024-01-16,14.36,2990606.58,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54110699
54203026,(2021 TE3),0.01,False,2024-01-16,21.08,73336422.57,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54203026
54336061,(2022 YF2),0.11,False,2024-01-16,11.79,20835115.11,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54336061
54339976,(2023 BL2),0.01,False,2024-01-16,18.64,44168716.42,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54339976
54419699,(2024 AU2),0.14,False,2024-01-16,18.43,14899734.33,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54419699
54419806,(2024 AB3),0.02,False,2024-01-16,19.18,2923141.75,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54419806
54419819,(2024 AO3),0.06,False,2024-01-16,10.01,23589761.74,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54419819
54420445,(2024 AH4),0.03,False,2024-01-16,8.79,5921972.98,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54420445
54421385,(2024 BZ),0.02,False,2024-01-16,5.6,3888545.92,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54421385
